,notification_date,postcode,likely_source_of_infection,lhd_2010_code,lhd_2010_name,lga_code19,lga_name19,locality,name,state,long,lat,Cases
1870,2020-03-20,2343.0,Overseas,X800,Hunter New England,14920.0,Liverpool Plains (A),YARRAMAN,"BLACKVILLE, BORAMBIL, BUNDELLA, CAROONA, COLLY BLUE, COOMOO COOMOO, PINE RIDGE, QUIPOLLY, QUIRINDI, SPRING RIDGE, WALLABADAH, WARRAH RIDGE, WINDY, YANNERGEE, YARRAMAN",NSW,150.1491418,-31.66545698,2
2036,2020-03-21,2079.0,Overseas,X760,Northern Sydney,14000.0,Hornsby (A),MOUNT COLAH,MOUNT COLAH,NSW,151.112681,-33.666637,1
2035,2020-03-21,2490.0,Overseas,X810,Northern NSW,17550.0,Tweed (A),TUMBULGUM,"NORTH TUMBULGUM, TUMBULGUM",NSW,153.472644,-28.271718,1
2127,2020-03-21,2357.0,Overseas,X850,Western NSW,18020.0,Warrumbungle Shire (A),YEARINAN,"BOMERA, BOX RIDGE, BUGALDIE, COONABARABRAN, DANDRY, GOWANG, PURLEWAUGH, ROCKY GLEN, TANNABAR, ULAMAMBRI, WATTLE SPRINGS, YEARINAN",NSW,149.263874,-31.193339,1
376,2020-03-22,2115.0,Overseas,X740,Western Sydney,16260.0,Parramatta (C),ERMINGTON,ERMINGTON,NSW,151.059845,-33.813106,4
2183,2020-03-22,2463.0,Overseas,X810,Northern NSW,11730.0,Clarence Valley (A),WOODFORD ISLAND,"ASHBY, ASHBY HEIGHTS, ASHBY ISLAND, BROOMS HEAD, GULMARRAD, ILARWILL, JACKY BULBIN FLAT, JAMES CREEK, MACLEAN, PALMERS CHANNEL, PALMERS ISLAND, SANDON, SHARK CREEK, TALOUMBI, THE SANDON, TOWNSEND, TULLYMORGAN, WOODFORD, WOODFORD ISLAND",NSW,153.1344664,-29.5139517,1
2311,2020-03-22,2476.0,Interstate,X810,Northern NSW,17400.0,Tenterfield (A),WOODENBONG,"ACACIA CREEK, ACACIA PLATEAU, BOOMI CREEK, BRUMBY PLAINS, KOREELAH, LEGUME, LINDESAY CREEK, LOWER ACACIA CREEK, MULI MULI, OLD KOREELAH, THE GLEN, WOODENBONG",NSW,152.49765,-28.364559999999997,2
2396,2020-03-23,2173.0,Local (Unknown Contact),X710,South Western Sydney,14900.0,Liverpool (C),WATTLE GROVE,"HOLSWORTHY, WATTLE GROVE",NSW,150.919554,-34.074239,1
2442,2020-03-23,2786.0,Overseas,X750,Nepean Blue Mountains,10900.0,Blue Mountains (C),MOUNT WILSON,"BELL, DARGAN, MOUNT IRVINE, MOUNT VICTORIA, MOUNT WILSON",NSW,150.317795,-33.533055,1
2400,2020-03-23,2172.0,Overseas,X710,South Western Sydney,14900.0,Liverpool (C),VOYAGER POINT,"PLEASURE POINT, SANDY POINT, VOYAGER POINT",NSW,150.917444,-33.951109,1
1961,2020-03-23,2508.0,Overseas,X730,Illawarra Shoalhaven,18450.0,Wollongong (C),WORONORA DAM,"COALCLIFF, DARKES FOREST, HELENSBURGH, LILYVALE, MADDENS PLAINS, OTFORD, STANWELL PARK, STANWELL TOPS, WORONORA DAM",NSW,150.9354342,-34.16316178,2
1241,2020-03-23,2132.0,Overseas,X700,Sydney,11300.0,Burwood (A),CROYDON,CROYDON,NSW,151.11338500000002,-33.882419,3
1622,2020-03-23,2048.0,Overseas,X700,Sydney,14170.0,Inner West (A),WESTGATE,"STANMORE, WESTGATE",NSW,151.16564,-33.89418,2
2303,2020-03-23,2799.0,Overseas,X850,Western NSW,10850.0,Blayney (A),VITTORIA,"BARRY, BLAYNEY, BROWNS CREEK, FITZGERALDS MOUNT, KINGS PLAINS, NEVILLE, VITTORIA",NSW,149.267666,-33.571335,3
2330,2020-03-23,2345.0,Overseas,X800,Hunter New England,17310.0,Tamworth Regional (A),GARTHOWEN,"ATTUNGA, GARTHOWEN",NSW,150.875031,-30.864341999999997,1
1681,2020-03-23,2487.0,Overseas,X810,Northern NSW,17550.0,Tweed (A),STOTTS CREEK,"CASUARINA, CHINDERAH, CUDGEN, DURANBAH, FINGAL HEAD, KINGS FOREST, KINGSCLIFF, STOTTS CREEK",NSW,153.548588,-28.279729999999997,4
434,2020-03-23,2028.0,Overseas,X720,South Eastern Sydney,18500.0,Woollahra (A),DOUBLE BAY,DOUBLE BAY,NSW,151.240965,-33.878413,3
2169,2020-03-24,2208.0,Local (Known Contact),X700,Sydney,11570.0,Canterbury-Bankstown (A),KINGSWAY WEST,"KINGSGROVE, KINGSWAY WEST",NSW,151.098002,-33.942632,2
1735,2020-03-24,2278.0,Overseas,X800,Hunter New England,14650.0,Lake Macquarie (C),WAKEFIELD,"BARNSLEY, KILLINGWORTH, WAKEFIELD",NSW,151.59041499999998,-32.932412,3
2329,2020-03-24,2360.0,Overseas,X800,Hunter New England,14200.0,Inverell (A),WOODSTOCK,"AUBURN VALE, BRODIES PLAINS, BUKKULLA, CHERRY TREE HILL, COPETON, ELSMORE, GILGAI, GRAMAN, GUM FLAT, HOWELL, INVERELL, KINGS PLAINS, LITTLE PLAIN, LONG PLAIN, MOUNT RUSSELL, NEWSTEAD, NULLAMANNA, OAKWOOD, PARADISE, ROB ROY, SAPPHIRE, SPRING MOUNTAIN, STANBOROUGH, SWANBROOK, WALLANGRA, WANDERA, WOODSTOCK",NSW,151.314883,-29.74182058,3
2305,2020-03-24,2465.0,Overseas,X810,Northern NSW,11730.0,Clarence Valley (A),HARWOOD,HARWOOD,NSW,153.243897,-29.412622,2
2502,2020-03-24,2286.0,Local (Unknown Contact),X800,Hunter New England,14650.0,Lake Macquarie (C),WEST WALLSEND,"HOLMESVILLE, SEAHAMPTON, WEST WALLSEND",NSW,151.532669,-32.923321,1
1944,2020-03-24,2527.0,Overseas,X730,Illawarra Shoalhaven,16900.0,Shellharbour (C),YELLOW ROCK,"ALBION PARK, ALBION PARK RAIL, CALDERWOOD, CROOM, NORTH MACQUARIE, TONGARRA, TULLIMBAR, YELLOW ROCK",NSW,150.754592,-34.583539,5
2207,2020-03-24,2641.0,Overseas,X921,Network with Vic,10050.0,Albury (C),SPRINGDALE HEIGHTS,"HAMILTON VALLEY, LAVINGTON, SPRINGDALE HEIGHTS",NSW,146.93043600000001,-36.038655,2
2515,2020-03-24,2335.0,Overseas,X800,Hunter New England,17000.0,Singleton (A),STANHOPE,"BELFORD, BRANXTON, DALWOOD, EAST BRANXTON, ELDERSLIE, LAMBS VALLEY, LECONFIELD, LOWER BELFORD, NORTH ROTHBURY, STANHOPE",NSW,151.319414,-32.642117999999996,1
2472,2020-03-24,2327.0,Overseas,X800,Hunter New England,11720.0,Cessnock (C),STANFORD MERTHYR,"KURRI KURRI, PELAW MAIN, STANFORD MERTHYR",NSW,151.48621200000002,-32.820688,2
1800,2020-03-24,2525.0,Interstate,X730,Illawarra Shoalhaven,18450.0,Wollongong (C),FIGTREE,FIGTREE,NSW,150.818904,-34.437228999999995,3
2531,2020-03-24,2590.0,Overseas,X840,Murrumbidgee,12160.0,Cootamundra-Gundagai Regional (A),ILLABO,"BETHUNGRA, COOTAMUNDRA, ILLABO",NSW,147.89691100000002,-34.714515000000006,1
2532,2020-03-24,2550.0,Overseas,X830,Southern NSW,10550.0,Bega Valley (A),YOWRIE,"ANGLEDALE, BEGA, BEMBOKA, BLACK RANGE, BOURNDA, BROGO, BUCKAJO, BUNGA, BURRAGATE, CANDELO, CHINNOCK, COBARGO, COOLAGOLITE, COOLANGUBRA, COOPERS GULLY, DEVILS HOLE, DOCTOR GEORGE MOUNTAIN, FROGS HOLLOW, GREENDALE, JELLAT JELLAT, KALARU, KAMERUKA, KANOONA, KINGSWOOD, MOGAREEKA, MOGILLA, MORANS CROSSING, MUMBULLA MOUNTAIN, MURRAH, MYRTLE MOUNTAIN, NELSON, NEW BUILDINGS, NUMBUGGA, PERICOE, QUAAMA, REEDY SWAMP, ROCKY HALL, SOUTH WOLUMLA, STONY CREEK, TANJA, TANTAWANGALO, TARRAGANDA, TATHRA, TOOTHDALE, TOWAMBA, VERONA, WALLAGOOT, WANDELLA, WAPENGO, WOG WOG, WOLUMLA, WYNDHAM, YAMBULLA, YANKEES CREEK, YOWRIE",NSW,149.699222,-36.737758,1
2566,2020-03-25,2333.0,Overseas,X800,Hunter New England,15650.0,Muswellbrook (A),WYBONG,"BAERAMI, BAERAMI CREEK, BENGALLA, CASTLE ROCK, EDDERTON, GUNGAL, KAYUGA, LIDDELL, MANOBALAI, MCCULLYS GAP, MUSCLE CREEK, MUSWELLBROOK, SANDY HOLLOW, WYBONG",NSW,150.701949,-32.248568,1
2563,2020-03-25,2631.0,Overseas,X830,Southern NSW,17040.0,Snowy Monaro Regional (A),WINIFRED,"ANDO, BOCCI, BOCO, CREEWAH, GLEN ALLEN, GREENLANDS, HOLTS FLAT, JIMCUMBILLY, JINCUMBILLY, KYBEYAN, MOUNT COOPER, NIMMITABEL, STEEPLE FLAT, WINIFRED",NSW,149.306729,-36.529385999999995,1
2549,2020-03-25,2660.0,Overseas,X840,Murrumbidgee,13340.0,Greater Hume Shire (A),MORVEN,"CARNSDALE, CULCAIRN, MORVEN",NSW,147.07831000000002,-35.699906,1
2564,2020-03-25,2820.0,Overseas,X850,Western NSW,12390.0,Dubbo Regional (A),YARRAGAL,"APSLEY, ARTHURVILLE, BAKERS SWAMP, BODANGORA, COMOBELLA, CURRA CREEK, DRIPSTONE, FARNHAM, GOLLAN, LAKE BURRENDONG, MARYVALE, MEDWAY, MONTEFIORES, MOOKERAWA, MOUNT AQUILA, MOUNT ARTHUR, MUMBIL, NANIMA, NEUREA, NORTH YEOVAL, SPICERS CREEK, STUART TOWN, SUNTOP, WALMER, WELLINGTON, WUULUMAN, YARRAGAL",NSW,148.989227,-32.553282,2
1927,2020-03-25,2140.0,Local (Unknown Contact),X700,Sydney,17100.0,Strathfield (A),HOMEBUSH WEST,"HOMEBUSH, HOMEBUSH SOUTH, HOMEBUSH WEST",NSW,151.070853,-33.835018,3
2571,2020-03-25,2757.0,Overseas,X750,Nepean Blue Mountains,13800.0,Hawkesbury (C),KURMOND,KURMOND,NSW,150.69208600000002,-33.554839,1
2146,2020-03-25,2256.0,Overseas,X770,Central Coast,11650.0,Central Coast (C) (NSW),WOY WOY BAY,"BLACKWALL, HORSFIELD BAY, KOOLEWONG, LITTLE WOBBY, PATONGA, PEARL BEACH, PHEGANS BAY, WONDABYNE, WOY WOY, WOY WOY BAY",NSW,151.331154,-33.482123,3
2349,2020-03-25,2486.0,Overseas,X810,Northern NSW,17550.0,Tweed (A),UPPER DUROBY,"BANORA POINT, BILAMBIL, BILAMBIL HEIGHTS, BUNGALORA, CAROOL, COBAKI, COBAKI LAKES, DUROBY, GLENGARRIE, PIGGABEEN, TERRANORA, TWEED HEADS SOUTH, TWEED HEADS SOUTH DC, UPPER DUROBY",NSW,153.479217,-28.215215,5
2300,2020-03-25,2753.0,Local (Known Contact),X750,Nepean Blue Mountains,13800.0,Hawkesbury (C),YARRAMUNDI,"AGNES BANKS, BOWEN MOUNTAIN, GROSE VALE, GROSE WOLD, HOBARTVILLE, LONDONDERRY, RICHMOND, RICHMOND LOWLANDS, YARRAMUNDI",NSW,150.646053,-33.604022,5
2441,2020-03-25,2783.0,Local (Known Contact),X750,Nepean Blue Mountains,10900.0,Blue Mountains (C),LAWSON,LAWSON,NSW,150.431839,-33.725566,2
2572,2020-03-25,2810.0,Overseas,X850,Western NSW,18100.0,Weddin (A),WARRADERRY,"BIMBI, CARAGABAL, GLENELG, GRENFELL, PINEY RANGE, PINNACLE, PULLABOOKA, WARRADERRY",NSW,148.054607,-33.902869,1
1728,2020-03-25,2779.0,Overseas,X750,Nepean Blue Mountains,10900.0,Blue Mountains (C),HAZELBROOK,HAZELBROOK,NSW,150.45933,-33.7237,3
2569,2020-03-25,2371.0,Overseas,X800,Hunter New England,13010.0,Glen Innes Severn (A),YELLOW DAM,"CAPOOMPETA, DEEPWATER, EMMAVILLE, ROCKY CREEK, STANNUM, TENT HILL, THE GULF, TORRINGTON, TUNGSTEN, WELLINGTON VALE, YELLOW DAM",NSW,151.814675,-29.36625,2
2567,2020-03-25,2821.0,Local (Known Contact),X850,Western NSW,15850.0,Narromine (A),WYANGA,"BURROWAY, NARROMINE, WYANGA",NSW,148.110385,-32.255249,1
517,2020-03-25,2047.0,Overseas,X700,Sydney,11520.0,Canada Bay (A),DRUMMOYNE,DRUMMOYNE,NSW,151.165735,-33.853924,2
2540,2020-03-25,2569.0,Interstate,X710,South Western Sydney,18400.0,Wollondilly (A),DOUGLAS PARK,DOUGLAS PARK,NSW,150.708875,-34.196003999999995,1
2427,2020-03-25,2830.0,Local (Unknown Contact),X850,Western NSW,12390.0,Dubbo Regional (A),WHYLANDRA CROSSING,"BALLIMORE, BARBIGAL, BENI, BOOTHENBA, BROCKLEHURST, CUMBOOGLE, DELROY GARDENS, DICKYGUNDI, DUBBO, DUBBO DC, DUBBO EAST, DUBBO GROVE, DUBBO WEST, ESCHOL, EULOMOGO, GOONOO FOREST, KICKABIL, MANERA HEIGHTS, MINORE, MOGRIGUY, MURONBUNG, ORANA HEIGHTS, RAWSONVILLE, TALBRAGAR, TERRAMUNGAMINE, TOONGI, TROY JUNCTION, WAMBANGALANG, WHYLANDRA CROSSING",NSW,148.657282,-32.24224,3
2568,2020-03-25,2337.0,Overseas,X800,Hunter New England,17620.0,Upper Hunter Shire (A),WOOLOOMA,"BELLTREES, BRAWBOY, BUNNAN, DRY CREEK, ELLERSTON, GLENBAWN, GLENROCK, GUNDY, KARS SPRINGS, MIDDLE BROOK, MOOBI, MOONAN BROOK, MOONAN FLAT, MURULLA, OMADALE, OWENS GAP, PAGES CREEK, PARKVILLE, SATUR, SCONE, SEGENHOE, STEWARTS BROOK, TOMALLA, WAVERLY, WINGEN, WOOLOOMA",NSW,151.08041200000002,-31.966753999999998,1
2615,2020-03-26,2619.0,Overseas,X830,Southern NSW,16490.0,Queanbeyan-Palerang Regional (A),JERRABOMBERRA,JERRABOMBERRA,NSW,149.194535,-35.378159000000004,1
2614,2020-03-26,2447.0,Overseas,X820,Mid North Coast,15700.0,Nambucca (A),YARRANBELLA,"BAKERS CREEK, BURRAPINE, CONGARINNI, CONGARINNI NORTH, DONNELLYVILLE, GUMMA, MACKSVILLE, NEWEE CREEK, NORTH MACKSVILLE, SCOTTS HEAD, TALARM, TAYLORS ARM, THUMB CREEK, UPPER TAYLORS ARM, UTUNGUN, WARRELL CREEK, WAY WAY, WIRRIMBI, YARRANBELLA",NSW,152.751629,-30.770670000000003,1
1913,2020-03-26,2102.0,Overseas,X760,Northern Sydney,15990.0,Northern Beaches (A),WARRIEWOOD SHOPPING SQUARE,"WARRIEWOOD, WARRIEWOOD DC, WARRIEWOOD SHOPPING SQUARE",NSW,151.290953,-33.689941,7
2317,2020-03-26,2290.0,Overseas,X800,Hunter New England,14650.0,Lake Macquarie (C),WHITEBRIDGE,"BENNETTS GREEN, CHARLESTOWN, DUDLEY, GATESHEAD, HILLSBOROUGH, KAHIBAH, MOUNT HUTTON, REDHEAD, TINGIRA HEIGHTS, WHITEBRIDGE",NSW,151.707801,-32.983963,6
2611,2020-03-26,2824.0,Overseas,X850,Western NSW,17950.0,Warren (A),WARREN,"BEEMUNNEL, BULLAGREEN, EENAWEENA, MARTHAGUY, MOUNT FOSTER, MOUNT HARRIS, MUMBLEBONE PLAIN, OXLEY, PIGEONBAH, PINE CLUMP, RAVENSWOOD, RED HILL, SNAKES PLAIN, TENANDRA, WARREN",NSW,147.785831,-31.373201,1
1816,2020-03-26,2460.0,Overseas,X810,Northern NSW,11730.0,Clarence Valley (A),WOMBAT CREEK,"ALUMY CREEK, BANYABBA, BARCOONGERE, BARRETTS CREEK, BARYULGIL, BLAXLANDS CREEK, BLAXLANDS FLAT, BOM BOM, BOOKRAM, BRAUNSTONE, BRUSHGROVE, BUCCARUMBI, CALAMIA, CANGAI, CARNHAM, CARRS CREEK, CARRS ISLAND, CARRS PENINSULAR, CHAELUNDI, CHAMBIGNE, CLARENZA, CLIFDEN, COALDALE, COLLUM COLLUM, COOMBADJHA, COPMANHURST, COUTTS CROSSING, COWPER, CROWTHER ISLAND, DALMORTON, DEEP CREEK, DILKOON, DIRTY CREEK, DUMBUDGERY, EATONSVILLE, EIGHTEEN MILE, ELLAND, FINE FLOWER, FORTIS CREEK, GLENUGIE, GRAFTON, GRAFTON WEST, GREAT MARLOW, GURRANANG, HALFWAY CREEK, HEIFER STATION, JACKADGERY, JUNCTION HILL, KANGAROO CREEK, KEYBARBIN, KOOLKHAN, KREMNOS, KUNGALA, KYARRAN, LANITZA, LAWRENCE, LEVENSTRATH, LILYDALE, LIONSVILLE, LOWER COLDSTREAM, LOWER SOUTHGATE, MALABUGILMAH, MCPHERSONS CROSSING, MOLEVILLE CREEK, MOUNTAIN VIEW, MYLNEFORD, NEWBOLD, NYMBOIDA, PULGANBAR, PUNCHBOWL, RAMORNIE, RUSHFORTH, SANDY CROSSING, SEELANDS, SHANNONDALE, SMITHS CREEK, SOUTH ARM, SOUTH GRAFTON, SOUTHAMPTON, SOUTHGATE, STOCKYARD CREEK, THE PINNACLES, THE WHITEMAN, TOWALLUM, TRENAYR, TYNDALE, UPPER COPMANHURST, UPPER FINE FLOWER, WARRAGAI CREEK, WASHPOOL, WATERVIEW, WATERVIEW HEIGHTS, WELLS CROSSING, WHITEMAN CREEK, WINEGROVE, WOMBAT CREEK",NSW,153.271074,-29.320771999999998,3
2599,2020-03-26,2630.0,Overseas,X830,Southern NSW,17040.0,Snowy Monaro Regional (A),WAMBROOK,"ARABLE, BADJA, BILLILINGRA, BINJURA, BOBUNDARA, BOLARO, BUCKENDERRA, BUNGARBY, BUNYAN, CARLAMINDA, CHAKOLA, COOLRINGDON, COOMA, COOMA NORTH, COONERANG, COUNTEGANY, DAIRYMANS PLAINS, DANGELONG, DRY PLAIN, FRYING PAN, GLEN FERGUS, IRONMUNGY, JERANGLE, JIMENBUEN, LONG PLAIN, MAFFRA, MIDDLE FLAT, MIDDLINGBANK, MURRUMBUCCA, MYALLA, NIMMO, NUMERALLA, PEAK VIEW, PINE VALLEY, POLO FLAT, RHINE FALLS, ROCK FLAT, ROSE VALLEY, SHANNONS FLAT, SPRINGFIELD, THE BROTHERS, TUROSS, WAMBROOK",NSW,149.129166,-36.177296000000005,1
2600,2020-03-26,2647.0,Overseas,X840,Murrumbidgee,12870.0,Federation (A),MULWALA,MULWALA,NSW,145.976131,-35.905463,1
1779,2020-03-26,2519.0,Overseas,X730,Illawarra Shoalhaven,18450.0,Wollongong (C),REIDTOWN,"BALGOWNIE, FAIRY MEADOW, FERNHILL, MOUNT OUSLEY, MOUNT PLEASANT, REIDTOWN",NSW,150.709623,-34.355579999999996,6
2587,2020-03-26,2571.0,Local (Unknown Contact),X710,South Western Sydney,18400.0,Wollondilly (A),WILTON,"BALMORAL, BALMORAL VILLAGE, BUXTON, COURIDJAH, MALDON, MOWBRAY PARK, PICTON, RAZORBACK, WILTON",NSW,150.622493,-34.16715,1
2584,2020-03-26,2627.0,Overseas,X830,Southern NSW,17040.0,Snowy Monaro Regional (A),SAWPIT CREEK,"BULLOCKS FLAT, CRACKENBACK, EAST JINDABYNE, GROSSES PLAIN, GUNGARLIN, HILL TOP, INGEBIRAH, INGEBYRA, JINDABYNE, KALKITE, KOSCIUSZKO, KOSCIUSZKO NATIONAL PARK, LOWER THREDBO, MOONBAH, PILOT WILDERNESS, SAWPIT CREEK",NSW,148.232341,-36.409113,3
623,2020-03-26,2126.0,Overseas,X760,Northern Sydney,14000.0,Hornsby (A),CHERRYBROOK,CHERRYBROOK,NSW,151.043941,-33.724897999999996,3
2411,2020-03-26,2448.0,Overseas,X820,Mid North Coast,15700.0,Nambucca (A),VIEWMONT,"HYLAND PARK, NAMBUCCA HEADS, VALLA, VALLA BEACH, VIEWMONT",NSW,152.956681,-30.604667,2
1297,2020-03-26,2191.0,Local (Known Contact),X700,Sydney,11570.0,Canterbury-Bankstown (A),BELFIELD,BELFIELD,NSW,151.085513,-33.906803000000004,5
2633,2020-03-26,2506.0,Overseas,X730,Illawarra Shoalhaven,18450.0,Wollongong (C),BERKELEY,BERKELEY,NSW,150.840792,-34.48494,1
2498,2020-03-26,2526.0,Overseas,X730,Illawarra Shoalhaven,18450.0,Wollongong (C),UNANDERRA DC,"CORDEAUX, CORDEAUX HEIGHTS, FARMBOROUGH HEIGHTS, KEMBLA GRANGE, KEMBLA HEIGHTS, MOUNT KEMBLA, UNANDERRA, UNANDERRA DC",NSW,150.77681,-34.380765000000004,2
2521,2020-03-26,2680.0,Overseas,X840,Murrumbidgee,13450.0,Griffith (C),YOOGALI,"BEELBANGERA, BENEREMBAH, BILBUL, GRIFFITH, GRIFFITH DC, GRIFFITH EAST, HANWOOD, KOOBA, LAKE WYANGAN, NERICON, THARBOGANG, WARBURN, WARRAWIDGEE, WIDGELLI, WILLBRIGGIE, YOOGALI",NSW,145.914625,-34.321422,3
1415,2020-03-26,2142.0,Local (Known Contact),X740,Western Sydney,12380.0,Cumberland (A),SOUTH GRANVILLE,"BLAXCELL, CAMELLIA, CLYDE, GRANVILLE, HOLROYD, ROSEHILL, SOUTH GRANVILLE",NSW,151.0106782,-33.85780796,5
1451,2020-03-26,2298.0,Overseas,X800,Hunter New England,15900.0,Newcastle (C),WARATAH WEST,"GEORGETOWN, WARATAH, WARATAH WEST",NSW,151.722243,-32.905633,5
2332,2020-03-26,2431.0,Overseas,X820,Mid North Coast,14350.0,Kempsey (A),SOUTH WEST ROCKS,"ARAKOON, JERSEYVILLE, SOUTH WEST ROCKS",NSW,153.053789,-30.925233000000002,2
752,2020-03-26,2756.0,Overseas,X750,Nepean Blue Mountains,13800.0,Hawkesbury (C),WOMERAH,"BLIGH PARK, CATTAI, CENTRAL COLO, CLARENDON, COLO, COLO HEIGHTS, CORNWALLIS, CUMBERLAND REACH, EBENEZER, FREEMANS REACH, GLOSSODIA, LEETS VALE, LOWER PORTLAND, MAROOTA, MCGRATHS HILL, MELLONG, MULGRAVE, PITT TOWN, PITT TOWN BOTTOMS, SACKVILLE, SACKVILLE NORTH, SCHEYVILLE, SOUTH MAROOTA, SOUTH WINDSOR, UPPER COLO, WILBERFORCE, WINDSOR, WINDSOR DOWNS, WOMERAH",NSW,150.8001824,-33.23594291,11
2648,2020-03-27,2454.0,Overseas,X820,Mid North Coast,10600.0,Bellingen (A),VALERY,"BELLINGEN, BRIERFIELD, BRINERVILLE, BUNDAGEN, DARKWOOD, FERNMOUNT, GLENIFFER, GORDONVILLE, HYDES CREEK, KALANG, KOOROOWI, MYLESTOM, ORAMA, RALEIGH, REPTON, SCOTCHMAN, SPICKETTS CREEK, SUNNY CORNER, THORA, UPPER THORA, VALERY",NSW,152.84026599999999,-30.459807,1
2651,2020-03-27,2843.0,Overseas,X850,Western NSW,18020.0,Warrumbungle Shire (A),COOLAH,COOLAH,NSW,149.727798,-31.824340000000003,1
1138,2020-03-27,2517.0,Local (Known Contact),X730,Illawarra Shoalhaven,18450.0,Wollongong (C),WOONONA EAST,"RUSSELL VALE, WOONONA, WOONONA EAST",NSW,150.891169,-34.349362,4
1732,2020-03-27,2085.0,Local (Unknown Contact),X760,Northern Sydney,15990.0,Northern Beaches (A),DAVIDSON,"BELROSE, BELROSE WEST, DAVIDSON",NSW,151.211719,-33.728782,4
563,2020-03-27,2029.0,Local (Known Contact),X720,South Eastern Sydney,18500.0,Woollahra (A),ROSE BAY,ROSE BAY,NSW,151.266989,-33.875709,10
431,2020-03-27,2116.0,Local (Unknown Contact),X740,Western Sydney,16260.0,Parramatta (C),RYDALMERE,RYDALMERE,NSW,151.03694099999998,-33.814368,4
2613,2020-03-27,2292.0,Overseas,X800,Hunter New England,15900.0,Newcastle (C),HAMILTON NORTH,"BROADMEADOW, HAMILTON NORTH",NSW,151.740716,-32.931589,2
2670,2020-03-27,2372.0,Local (Unknown Contact),X800,Hunter New England,17400.0,Tenterfield (A),WYLIE CREEK,"BACK CREEK, BILLYRIMBA, BLACK SWAMP, BLUFF ROCK, BOLIVIA, BOOKOOKOORARA, BOONOO BOONOO, BOOROOK, BRYANS GAP, BUNGULLA, CARROLLS CREEK, CULLENDORE, DUMARESQ VALLEY, FOREST LAND, LISTON, MINGOOLA, MOLE RIVER, PYES CREEK, RIVERTREE, ROCKY RIVER, SANDY FLAT, SANDY HILL, SILENT GROVE, STEINBROOK, SUNNYSIDE, TARBAN, TENTERFIELD, THE SCRUB, TIMBARRA, WILLSONS DOWNFALL, WOODSIDE, WYLIE CREEK",NSW,151.999661,-29.083319,1
1930,2020-03-27,2427.0,Local (Unknown Contact),X800,Hunter New England,15240.0,Mid-Coast (A),HARRINGTON,"CROWDY HEAD, HARRINGTON",NSW,152.686583,-31.842318,3
2672,2020-03-27,2581.0,Overseas,X830,Southern NSW,17640.0,Upper Lachlan Shire (A),WOLLOGORANG,"BELLMOUNT FOREST, BEVENDALE, BIALA, BLAKNEY CREEK, BREADALBANE, BROADWAY, COLLECTOR, CULLERIN, DALTON, GUNNING, GURRUNDAH, LADE VALE, LAKE GEORGE, LERIDA, MERRILL, OOLONG, TALLAGANDA, WOLLOGORANG",NSW,149.286631,-34.764484,2
225,2020-03-27,2749.0,Local (Unknown Contact),X750,Nepean Blue Mountains,16350.0,Penrith (C),CRANEBROOK,"CASTLEREAGH, CRANEBROOK",NSW,150.686816,-33.702166999999996,7
1509,2020-03-27,2061.0,Overseas,X760,Northern Sydney,15950.0,North Sydney (A),MILSONS POINT,"KIRRIBILLI, MILSONS POINT",NSW,151.212372,-33.848785,3
1478,2020-03-27,2225.0,Overseas,X720,South Eastern Sydney,17150.0,Sutherland Shire (A),OYSTER BAY,"CARAVAN HEAD, OYSTER BAY",NSW,151.08789199999998,-33.997440999999995,3
2496,2020-03-27,2643.0,Overseas,X840,Murrumbidgee,12870.0,Federation (A),HOWLONG,HOWLONG,NSW,146.617535,-35.936556,2
2295,2020-03-27,2480.0,Interstate,X810,Northern NSW,14850.0,Lismore (C),WYRALLAH,"BACK CREEK, BENTLEY, BEXHILL, BLAKEBROOK, BLUE KNOB, BOAT HARBOUR, BOOERIE CREEK, BOORABEE PARK, BOOYONG, BUNGABBEE, CANIABA, CHILCOTTS GRASS, CLOVASS, CLUNES, COFFEE CAMP, CORNDALE, DORROUGHBY, DUNGARUBBA, DUNOON, EAST LISMORE, ELTHAM, EUREKA, FEDERAL, FERNSIDE, GEORGICA, GIRARDS HILL, GOOLMANGAR, GOONELLABAH, GUNDURIMBA, HOWARDS GRASS, JIGGI, KEERRONG, KOONORIGAN, LAGOON GRASS, LARNOOK, LEYCESTER, LILLIAN ROCK, LINDENDALE, LISMORE, LISMORE DC, LISMORE HEIGHTS, LOFTVILLE, MAROM CREEK, MCKEES HILL, MCLEANS RIDGES, MISSINGHAM, MODANVILLE, MONALTRIE, MOUNTAIN TOP, NIGHTCAP, NIMBIN, NORTH LISMORE, NUMULGI, REPENTANCE CREEK, RICHMOND HILL, ROCK VALLEY, ROSEBANK, RUTHVEN, SOUTH GUNDURIMBA, SOUTH LISMORE, STEVE KINGS PLAINS, STONY CHUTE, TERANIA CREEK, THE CHANNON, TREGEAGLE, TUCKI TUCKI, TUCKURIMBA, TULLERA, TUNCESTER, TUNTABLE CREEK, TUNTABLE FALLS, UPPER COOPERS CREEK, WHIAN WHIAN, WOODLAWN, WYRALLAH",NSW,153.25943,-28.706485999999998,5
